Shop Name,Similar Names
NS' BOUTIQUE,"[""HUEN'S BOUTIQUE"", ""N'S BOUTIQUE"", 'S&M BOUTIQUE']"
NUHEALTH MEDICAL CENTRE,['MINT MEDICAL CENTRE']
OH SUNNY,['OH! SUNNY']
OH! SUNNY,['OH SUNNY']
OJO OPTOMETRIST,['KJ OPTOMETRISTS']
OLLEH FASHION,"['E FASHION', 'MOBILE FASHION']"
OOTOYA JAPANESE RESTAURANT,"['AKASHI JAPANESE RESTAURANT', 'BOTAN JAPANESE RESTAURANT', 'IKURA JAPANESE RESTAURANT', 'MITSUBA JAPANESE RESTAURANT']"
ORBIS,['ORIS']
ORGANIC EXPRESS HAIR COLOR LAB,['ORGANIC EXPRESS HAIR COLOR LAB (COMING SOON)']
ORGANIC EXPRESS HAIR COLOR LAB (COMING SOON),['ORGANIC EXPRESS HAIR COLOR LAB']
ORIS,['ORBIS']
ORO STYLE HOUSE,['SV STYLE HOUSE']
OSSIA MUSIC SCHOOL,"['ASIA MUSIC SCHOOL', 'SONARE MUSIC SCHOOL', 'VIENNA MUSIC SCHOOL']"
OZARA,['ZARA']
P B FASHION,"['H G FASHION', 'PP2 FASHION', 'Y K FASHION']"
PARAMOUS MAIDS AGENCY,['RAYMOND MAIDS AGENCY']
PEEK A BOX,['PEEKABOX']
PEEK-A-BOX,['PEEKABOX']
PEEKABOX,"['PEEK A BOX', 'PEEK-A-BOX']"
PENHALIGON'S,['PENHALIGON’S']
PENHALIGON’S,"[""PENHALIGON'S""]"
PHOENIX MEDICAL GROUP,['POINT MEDICAL GROUP']
PING AN TRADING,['XING TRADING']
PINKIES FOOT REFLEXOLGY,['MING FOOT REFLEXOLOGY']
PINKIES NAIL SPA,['PIXIE NAIL SPA']
PIXIE NAIL SPA,['PINKIES NAIL SPA']
POH HENG JEWELLERY,"[""THE HENG'S JEWELLERY""]"
POINT MEDICAL GROUP,"['PHOENIX MEDICAL GROUP', 'PROHEALTH MEDICAL GROUP']"
POIS BOUTIQUE,['ROSS BOUTIQUE']
POSH WELLNESS,['IPPO WELLNESS']
POULET,['POULÉT']
POULÉT,['POULET']
PP2 FASHION,['P B FASHION']
PRIMADELI,['PRIMADÉLI']
PRIMADÉLI,['PRIMADELI']
PRIVATE HAIR STUDIO,"['IMAGE HAIR STUDIO', 'KIMAGE HAIR STUDIO']"
PRIVÉ (COMING SOON),['SPHERE (COMING SOON)']
PRIX SALON,['I SALON']
PROHEALTH MEDICAL GROUP,['POINT MEDICAL GROUP']
PU TIEN,['PUTIEN']
PUTIEN,['PU TIEN']
Q & M DENTAL SURGERY,['Q&M DENTAL SURGERY']
Q&M DENTAL SURGERY,"['ISMILE DENTAL SURGERY', 'Q & M DENTAL SURGERY']"
QB HOUSE PREMIUM,['QB HOUSE/QB PREMIUM']
QB HOUSE/QB PREMIUM,['QB HOUSE PREMIUM']
QIN JI ROUGAMO,['QIN JI ROUGAMOU']
QIN JI ROUGAMOU,['QIN JI ROUGAMO']
QQ FASHION,['E FASHION']
QQ NOODLE HOUSE,['GO NOODLE HOUSE']
QUEENS PRINTING PTE. LTD.,['QUEENSWAY PRINTING PTE. LTD.']
QUEENSWAY PRINTING PTE. LTD.,['QUEENS PRINTING PTE. LTD.']
QUOTE HAIR & BEAUTY SALON,['ICONIQUE HAIR & BEAUTY SALON']
RAFFLES MEDICAL,['RAFFLES MEDICAL/DENTAL']
RAFFLES MEDICAL/DENTAL,['RAFFLES MEDICAL']
RAYMOND MAIDS AGENCY,['PARAMOUS MAIDS AGENCY']
RESORTS FOREIGN EXCHANGE,['AJS FOREIGN EXCHANGE']
REVIVAL HAIR GALLERY,['LEAD HAIR GALLERY']
REVOLUTION,['SLR REVOLUTION']
RISING MONEY EXCHANGE,['SINO MONEY CHANGER']
ROCKY MASTER,['WOK MASTER']
ROLEX AT CORTINA WATCH,"['CARTIER AT CORTINA WATCH', 'TUDOR AT CORTINA WATCH']"
ROSS BOUTIQUE,['POIS BOUTIQUE']
ROYCE,"[""ROYCE'""]"
ROYCE',['ROYCE']
S COLLECTION,"['AK COLLECTIONS', ""BEN'S COLLECTIONS"", 'CHERIS COLLECTION', 'IE COLLECTION', 'KIZO COLLECTION', 'SURENE COLLECTION', 'VIC COLLECTION', 'YEN COLLECTION']"
S&M BOUTIQUE,"[""N'S BOUTIQUE"", ""NS' BOUTIQUE""]"
SABAR – ITADAKIMASU BY PARCO,"['ITADAKIMASU BY PARCO', 'YAYOI – ITADAKIMASU BY PARCO']"
SABON,['SABOTEN']
SABOTEN,['SABON']
SABRINA GOH,['SABRINAGOH']
SABRINAGOH,['SABRINA GOH']
SAJ EXCHANGE,['SHARA EXCHANGE']
SALVA'S FOREIGN EXCHANGE,['AJS FOREIGN EXCHANGE']
SAM'S CUSTOM TAILOR,"[""MOHAN'S CUSTOM TAILORS""]"
SANCHO,['SANCHOS']
SANCHOS,['SANCHO']
SANDY HAIR & BEAUTY SALON,['NAVIS HAIR & BEAUTY SALON']
SCHONEMAMA,['SCHÖNEMAMA']
SCHÖNEMAMA,['SCHONEMAMA']
SEIMPI EDUCATION,['STEP EDUCATION']
SEOUL MART,['SOL MART']
SHANGAI TANG,['SHANGHAI TANG']
SHANGHAI TANG,['SHANGAI TANG']
SHARA EXCHANGE,"['CHANDRA EXCHANGE', 'SAJ EXCHANGE']"
SHE STUDIO,['CASH STUDIO']
SHENTON MONEY EXCHANGER,['SINO MONEY CHANGER']
SHOE CLINIC,['CORE CLINIC']
SHUPERSTAR,['SOUPERSTAR']
SINGAPORE POOLS,['SINGAPORE POST']
SINGAPORE POST,['SINGAPORE POOLS']
SINO MONEY CHANGER,"['12HRS MONEY CHANGER', 'BUGIS MONEY CHANGER', 'RISING MONEY EXCHANGE', 'SHENTON MONEY EXCHANGER']"
SK JEWELLERY,"['AI JEWELLERY', 'GJS JEWELLERY', 'TAKA JEWELLERY', 'YS JEWELLERY']"
SK OPTICS,['W OPTICS']
SKYE AESTHETICS,['KOSME AESTHETICS']
SL AESTHETIC CLINIC,"['BK AESTHETICS CLINIC', 'CSK LASER AESTHETIC CLINIC', 'MIZU AESTHETIC CLINIC']"
SLR REVOLUTION,['REVOLUTION']
SO GOOD CHAR CHAN TANG,['SO GOOD CHAR CHAN TENG']
SO GOOD CHAR CHAN TENG,['SO GOOD CHAR CHAN TANG']
SOL MART,['SEOUL MART']
SONARE MUSIC SCHOOL,"['ASIA MUSIC SCHOOL', 'OSSIA MUSIC SCHOOL']"
SOUPERSTAR,['SHUPERSTAR']
SOUTHERN OPTICAL HOUSE,['LUSTER OPTICAL HOUSE']
SOZO ONE,['SOZO-ONE']
SOZO-ONE,['SOZO ONE']
SPA ELEMENTS,['SPORTS ELEMENTS']
SPARK EDUCATION,['STEP EDUCATION']
SPARKLE DENTAL SURGERY,['ISMILE DENTAL SURGERY']
SPERRY,['SUPERDRY']
SPHERE (COMING SOON),['PRIVÉ (COMING SOON)']
SPORTS ELEMENTS,['SPA ELEMENTS']
STALFORD LEARNING CENTRE,['AGRADER LEARNING CENTRE']
STEP EDUCATION,"['SEIMPI EDUCATION', 'SPARK EDUCATION']"
STUFF'D,['STUFF’D']
STUFF’D,"[""STUFF'D""]"
SUBLIME HAIRDRESSING,['MUSE HAIRDRESSING']
SUKI-YA,['SUKIYA']
SUKIYA,['SUKI-YA']
SULTANS BARBERSHOP,['LA BARBER SHOP']
SUNNY KOREAN CUISINE,['KOREAN CUISINE']
SUPER COCO,['SUPER COCONUT']
SUPER COCONUT,['SUPER COCO']
SUPERDRY,['SPERRY']
SURENE COLLECTION,"['S COLLECTION', 'YEN COLLECTION']"
SURFERS PARADISE,"[""KRAFER'S PARADISE""]"
SUSHI DELI,['SUSHI TEI']
SUSHI EXPRESS,['JUNSHIN EXPRESS']
SUSHI TEI,['SUSHI DELI']
SV STYLE HOUSE,['ORO STYLE HOUSE']
SWENSEN'S,['SWENSEN’S']
SWENSEN’S,"[""SWENSEN'S""]"
TAKA JEWELLERY,"['AI JEWELLERY', 'D&A JEWELLERY', 'SK JEWELLERY']"
TANG TANG MALATANG,['ZHANG LIANG MALA TANG']
TASSELS HAIRDRESSING,['MUSE HAIRDRESSING']
TAY BEAUTY SALON,"['133 BEAUTY SALON', 'AUBE BEAUTY SALON', 'KELLY BEAUTY SALON']"
TEA TREE CAFE,['THE TREE CAFE']
TEAHOUSE BY SOUP RESTAURANT,['LITTLE TEA HOUSE BY SOUP RESTAURANT']
TECH HOUSE,"['EC HOUSE', 'WATCH HOUSE']"
TEO HENG,['TONG HENG']
THAI EXPRESS,"['DTAP EXPRESS', 'THAIEXPRESS']"
THAIEXPRESS,['THAI EXPRESS']
THANH NAILS & BEAUTY,"['JR NAILS & BEAUTY', 'M2 NAILS & BEAUTY']"
THE ARTGROUND,['THE PLAYGROUND']
THE BACKYARD BAKERS,['#THEBACKYARDBAKERSHQ']
THE BALLET SCHOOL,['THE WALLET SHOP']
THE BETTER TOY STORE,['THE ENTERTAINER TOY STORE']
THE DENTAL PRACTICE,"['DE DENTAL PRACTICE TWO', 'NEWLIFE DENTAL PRACTICE']"
THE ENTERTAINER TOY STORE,['THE BETTER TOY STORE']
THE FOOD MARKET BY FOOD JUNCTION,['THE FOOD PLACE BY FOOD JUNCTION']
THE FOOD PLACE BY FOOD JUNCTION,['THE FOOD MARKET BY FOOD JUNCTION']
THE GREEN BAR,['THE GREEN PARTY']
THE GREEN PARTY,['THE GREEN BAR']
THE HENG'S JEWELLERY,['POH HENG JEWELLERY']
THE ORANGE ACADEMY,['THE ETON ACADEMY']
THE PLAYGROUND,"[""CHEFS' PLAYGROUND"", 'THE ARTGROUND']"
THE PUBLIC IZAKAYA 2,['THE PUBLIC IZAKAYA BY HACHI']
THE PUBLIC IZAKAYA BY HACHI,['THE PUBLIC IZAKAYA 2']
THE SOUP SPOON,['THE SOUP SPOON UNION']
THE SOUP SPOON UNION,['THE SOUP SPOON']
THE TREE CAFE,['TEA TREE CAFE']
THE UNDERGROUND,"['L.E. UNDERGROUND', 'LE UNDERGROUND']"
THE WALLET SHOP,['THE BALLET SCHOOL']
TIME STUDIO,['NICE STUDIO']
TIONG BAHRU BAKERY,['TIONG BAHRU BAKERY DINER']
TIONG BAHRU BAKERY DINER,['TIONG BAHRU BAKERY']
TOKYO SHOKUDO,['KYOTO SHOKUDO']
TONG HENG,['TEO HENG']
TONGUE TIP LANZHOU BEEF NOODLES,['TONGUE TIP LANZHOU BEEF NOODS']
TONGUE TIP LANZHOU BEEF NOODS,['TONGUE TIP LANZHOU BEEF NOODLES']
TONKOTSU KAZAN,['TONKOTSU KAZAN RAMEN']
TONKOTSU KAZAN RAMEN,['TONKOTSU KAZAN']
TP TEA,['AT TEA']
TREND EMPLOYMENT AGENCY,"['FAITH EMPLOYMENT AGENCY', 'MY EMPLOYMENT AGENCY']"
TRESORY,['TRESORY.']
TRESORY.,['TRESORY']
TRUE MEDICAL CLINIC,"['CURAMED MEDICAL CLINIC', 'ELISS MEDICAL CLINIC', 'ETERN MEDICAL CLINIC']"
TUDOR AT CORTINA WATCH,"['CARTIER AT CORTINA WATCH', 'ROLEX AT CORTINA WATCH']"
TYPHOON CAFE,['TYPHOON CAFÉ']
TYPHOON CAFÉ,['TYPHOON CAFE']
UCCI,['GUCCI']
UJADE COLLECTIONS,['AK COLLECTIONS']
UJADE JEWELLERY,"['AI JEWELLERY', 'JALEESA JEWELLERY']"
UNICITY,['UNITY']
UNITY,['UNICITY']
V MEDICAL AESTHETICS & LASER CLINIC,"['21 MEDICAL AESTHETICS CLINIC', 'VALE MEDICAL AESTHETICS CLINIC', 'YAN AESTHETIC & LASER CLINIC']"
VAIN BEAUTY,['INTO BEAUTY']
VALE MEDICAL AESTHETICS CLINIC,"['21 MEDICAL AESTHETICS CLINIC', 'APAX MEDICAL & AESTHETICS CLINIC', 'EDWIN LIM MEDICAL AESTHETIC CLINIC', 'V MEDICAL AESTHETICS & LASER CLINIC']"
VENUS BEAUTY,['ZEN BEAUTY']
VIC COLLECTION,"['IE COLLECTION', 'KIZO COLLECTION', 'S COLLECTION']"
VICTORIA BEAUTY,['VICTORIA BEAUTY SPA']
VICTORIA BEAUTY SPA,['VICTORIA BEAUTY']
VIENNA MUSIC SCHOOL,"['ASIA MUSIC SCHOOL', 'OSSIA MUSIC SCHOOL']"
VINCEN+ WATCH,['VINCENT WATCH']
VINCENT WATCH,['VINCEN+ WATCH']
VIVA SALON,['I SALON']
VIVIAN & SEAN,['VIVIAN AND SEAN']
VIVIAN AND SEAN,['VIVIAN & SEAN']
W OPTICS,['SK OPTICS']
WANG LEARNING CENTRE,"['AGRADER LEARNING CENTRE', 'KUMON LEARNING CENTRE', 'MUZART LEARNING CENTRE']"
WATCH HOUSE,['TECH HOUSE']
WEE PING TAILOR,['YEE JIN TAILOR']
WESTERN UNION,['WESTERN VISION']
WESTERN VISION,"['BETTER VISION', 'WESTERN UNION']"
WINDOW IMAGE & INTERIOR,['WINDOW IMAGE & INTERIOR FURNISHING']
WINDOW IMAGE & INTERIOR FURNISHING,['WINDOW IMAGE & INTERIOR']
WINE BEAUTY & WELLNESS,"['EROS BEAUTY & WELLNESS', 'EUDORA BEAUTY & WELLNESS', 'INNERSENSE BEAUTY & WELLNESS']"
WINE CONNECTION,['WINE CONNECTION BISTRO']
WINE CONNECTION BISTRO,['WINE CONNECTION']
WING JOO LONG,['WING JOO LOONG']
WING JOO LOONG,['WING JOO LONG']
WOK MASTER,['ROCKY MASTER']
X CRAFT,['X-CRAFT']
X'TREME PROFESSIONAL HAIR STUDIO,['X’TREME PROFESSIONALS HAIR STUDIO']
X-CRAFT,['X CRAFT']
XI HUA,"['LI HUA', 'XING HUA']"
XI YAN @BISTRO BYTES (OPENING SOON),"['FOOD BUDDY @BISTRO BYTES (OPENING SOON)', 'NIU MEI REN @BISTRO BYTES (OPENING SOON)', 'SUGAR MUMMY @BISTRO BYTES (OPENING SOON)']"
XIANG XIANG HUNAN CUISINE,['XIANG XIANG HUNAN CUISINE 湘香·湖南菜']
XIANG XIANG HUNAN CUISINE 湘香·湖南菜,['XIANG XIANG HUNAN CUISINE']
XING HUA,['XI HUA']
XING TRADING,['PING AN TRADING']
X’TREME PROFESSIONALS HAIR STUDIO,"[""X'TREME PROFESSIONAL HAIR STUDIO""]"
Y K FASHION,"['H G FASHION', 'KJ FASHION', 'P B FASHION', 'YJJ FASHION']"
YAKINIKU GO,['YAKINIKU OK!']
YAKINIKU KAI,['YAKINIKU OK!']
YAKINIKU OK!,"['YAKINIKU GO', 'YAKINIKU KAI']"
YAMAHA MUSIC SCHOOL,"['ASIA MUSIC SCHOOL', 'KAWAI MUSIC SCHOOL']"
YAN AESTHETIC & LASER CLINIC,['V MEDICAL AESTHETICS & LASER CLINIC']
YANG HUA FURNITURE,['YANG HUA FURNITURE TRADING']
YANG HUA FURNITURE TRADING,['YANG HUA FURNITURE']
YAYOI – ITADAKIMASU BY PARCO,"['ITADAKIMASU BY PARCO', 'MA MAISON – ITADAKIMASU BY PARCO', 'SABAR – ITADAKIMASU BY PARCO']"
YEE JIN TAILOR,['WEE PING TAILOR']
YEN COLLECTION,"[""BEN'S COLLECTIONS"", 'EYEWEAR COLLECTION', 'IE COLLECTION', 'S COLLECTION', 'SURENE COLLECTION']"
YES ACCESSORIES,['GUESS ACCESSORIES']
YJJ FASHION,"['KJ FASHION', 'Y K FASHION']"
YL BEAUTY,"['YL BEAUTY HUT', 'YOGLE BEAUTY', 'YSL BEAUTY']"
YL BEAUTY HUT,"['YL BEAUTY', 'YOUR BEAUTY HUT']"
YOGLE BEAUTY,"['YL BEAUTY', 'YSL BEAUTY']"
YONG XING TEOCHEW PORRIDGE,['BAN HENG TEOCHEW PORRIDGE']
YOU CHANG JEWELLERS,['YOUNG JEWELLERY']
YOU CHENG EDUCATION CENTRE,"['HEGURU EDUCATION CENTRE', 'HUA CHENG EDUCATION CENTRE', 'YU CAI EDUCATION CENTRE']"
YOUME FASHION,['E FASHION']
YOUNG JEWELLERY,"['MEYSON JEWELLERY', 'YOU CHANG JEWELLERS', 'YS JEWELLERY']"
YOUR BEAUTY HUT,['YL BEAUTY HUT']
YS JEWELLERY,"['AI JEWELLERY', 'GJS JEWELLERY', 'MEYSON JEWELLERY', 'SK JEWELLERY', 'YOUNG JEWELLERY']"
YSL BEAUTY,"['YL BEAUTY', 'YOGLE BEAUTY']"
YU BA FANG,['YU BA FANG 御八方']
YU BA FANG 御八方,['YU BA FANG']
YU CAI EDUCATION CENTRE,"['HUA CHENG EDUCATION CENTRE', 'YOU CHENG EDUCATION CENTRE']"
YU ER,['YUER']
YUER,['YU ER']
ZARA,['OZARA']
ZEN BEAUTY,"['EBEAUTY', 'EX BEAUTY', 'VENUS BEAUTY']"
ZHANG LIANG MALA TANG,['TANG TANG MALATANG']
ZR FASHION,"['E FASHION', 'MARY FASHION']"
旺爐 CITY HOT POT,['CITY HOT POT']
